CHILDREN,PERS_H,AGE,TMADD,TMJOB1,TEL,NMBLOAN,FINLOAN,INCOME,EC_CARD,BUREAU,LOCATION,LOANS,REGN,DIV,CASH,PRODUCT,RESID,NAT,PROF,CAR,CARDS,GB,_freq_
0,2,50,96,288,2,2,1,4000,1,3,1,0,0,0,1800,Radio or TV or Hifi,Lease,Yugoslav,State or Steel Ind,Car,Cheque card,0,30
2,4,41,108,288,2,0,0,3300,0,1,1,1,2,1,1000,Radio or TV or Hifi,,German,Civil Service,Car,no credit cards,0,30
4,6,36,120,288,2,0,0,5000,0,3,1,0,3,1,2000,Radio or TV or Hifi,,Turkish,Others,Car,no credit cards,0,30
2,4,47,120,288,2,2,1,3000,0,1,1,1,4,1,600,Furniture or Carpet,Lease,Greek,Others,Car,no credit cards,0,30
2,4,48,120,288,2,0,0,3000,0,3,1,0,4,1,1500,Furniture or Carpet,Lease,Turkish,Others,Car,no credit cards,0,30
1,2,36,144,288,2,0,0,1500,0,1,1,1,4,1,600,Radio or TV or Hifi,Lease,German,Others,Without Vehicle,no credit cards,0,30
1,3,37,144,288,2,2,1,2500,0,1,1,2,3,1,4000,Radio or TV or Hifi,,German,Chemical Industr,Car,no credit cards,0,30
3,5,38,144,288,2,2,1,0,1,1,1,2,4,1,4000,Radio or TV or Hifi,Lease,German,Others,Car,Cheque card,0,30
0,2,39,144,288,2,0,0,0,1,1,1,1,0,0,3000,Furniture or Carpet,Lease,German,Others,Car,Cheque card,0,30
2,4,46,144,288,2,2,1,5000,0,1,1,3,3,1,1900,Radio or TV or Hifi,,German,Civil Service,Car,no credit cards,0,30
5,7,50,144,288,2,2,1,4000,0,1,1,2,3,1,1900,Radio or TV or Hifi,Lease,Turkish,Others,Without Vehicle,no credit cards,0,30
0,1,53,144,288,2,0,0,4000,0,3,1,0,2,1,1300,Radio or TV or Hifi,,German,Others,Car,no credit cards,0,30
1,3,37,168,288,2,2,1,3000,0,1,1,3,5,1,3000,Radio or TV or Hifi,Lease,German,Others,Without Vehicle,no credit cards,0,30
1,3,41,168,288,2,0,0,3100,0,1,1,2,4,1,1500,Furniture or Carpet,Lease,German,Others,Car,no credit cards,0,30
2,4,45,168,288,2,0,1,3000,0,1,1,2,5,1,900,Dept. Store or Mail,,German,State or Steel Ind,Car,no credit cards,0,30
2,4,46,168,288,1,2,1,2500,0,1,1,1,5,1,700,Radio or TV or Hifi,Lease,Greek,Others,Without Vehicle,no credit cards,0,30
0,1,48,168,288,2,0,1,5000,1,3,1,0,5,1,1600,Furniture or Carpet,,Turkish,Civil Service,Car,Cheque card,0,30
2,4,48,168,288,2,2,1,2800,0,1,1,3,4,1,900,Radio or TV or Hifi,Lease,German,Others,Car,no credit cards,0,30
0,1,49,168,288,2,2,1,5000,0,1,1,2,5,1,10000,Furniture or Carpet,Lease,German,Chemical Industr,Car,no credit cards,0,30
0,1,50,168,288,1,0,0,0,1,1,1,1,0,0,1800,Dept. Store or Mail,Lease,German,Civil Service,Car,Cheque card,0,30
1,3,51,168,288,2,0,0,4000,0,1,1,1,5,1,4000,Dept. Store or Mail,,German,Others,Without Vehicle,no credit cards,0,30
0,2,51,168,288,2,2,1,3000,0,1,1,3,2,1,700,Radio or TV or Hifi,,German,Civil Service,Car,no credit cards,0,30
0,2,59,168,288,2,2,1,3500,0,1,1,1,5,1,100000,Cars,Lease,German,Others,Car,no credit cards,0,30
2,4,44,192,288,2,0,0,2900,0,3,1,0,5,1,900,Cars,Lease,German,Others,Car,no credit cards,0,30
1,3,46,192,288,2,2,1,0,1,3,1,0,0,0,700,Radio or TV or Hifi,Lease,German,Others,Car,Cheque card,0,30
3,5,47,192,288,2,0,0,3200,0,3,1,0,3,1,4000,Furniture or Carpet,Lease,Turkish,Others,Car,no credit cards,0,30
1,3,47,192,288,2,0,0,4000,0,1,1,1,4,1,1300,Dept. Store or Mail,,German,Civil Service,Car,no credit cards,0,30
0,2,49,192,288,2,2,1,3000,0,1,1,3,3,1,1300,Radio or TV or Hifi,Lease,Turkish,Others,Car,no credit cards,0,30
0,2,53,192,288,2,0,0,0,1,1,1,1,6,1,800,Radio or TV or Hifi,Lease,German,Others,Car,Cheque card,0,30
0,1,54,192,288,2,2,1,2200,0,1,1,1,5,1,1200,Furniture or Carpet,Lease,German,Others,Without Vehicle,no credit cards,0,30
1,3,56,192,288,2,0,1,2500,0,3,1,0,3,1,4000,Furniture or Carpet,,Turkish,Others,Car,no credit cards,0,30
2,4,43,216,288,2,2,1,2600,0,1,1,1,6,1,1100,Radio or TV or Hifi,Lease,German,Military Service,Car,no credit cards,0,30
5,7,44,216,288,2,0,1,5000,0,1,1,1,5,1,1700,Radio or TV or Hifi,,Yugoslav,Others,Car,no credit cards,0,30
0,2,46,216,288,2,0,1,3200,0,3,1,0,5,1,1900,Radio or TV or Hifi,Lease,Turkish,Others,Car,no credit cards,0,30
1,3,49,216,288,2,2,1,2300,0,3,1,0,8,1,3000,Radio or TV or Hifi,Lease,Greek,Others,Without Vehicle,no credit cards,0,30
0,2,56,216,288,2,2,1,2900,0,1,1,1,2,1,2000,Furniture or Carpet,Lease,Turkish,Civil Service,Without Vehicle,no credit cards,0,30
2,4,42,240,288,2,2,0,2700,0,1,1,1,4,1,0,,Lease,German,Food or Building,Car,no credit cards,0,30
1,3,43,240,288,2,0,0,2600,0,1,1,1,6,1,500,Radio or TV or Hifi,Lease,German,Civil Service,Without Vehicle,no credit cards,0,30
2,4,46,240,288,2,2,1,3000,0,1,1,1,4,1,1300,Radio or TV or Hifi,Lease,Turkish,Food or Building,Car,no credit cards,0,30
1,3,49,240,288,2,0,1,5000,0,3,1,0,5,1,2000,Radio or TV or Hifi,,German,Chemical Industr,Car,no credit cards,0,30
0,1,51,240,288,2,0,0,2500,0,3,1,0,6,1,1000,Furniture or Carpet,Lease,Others,Others,Without Vehicle,no credit cards,0,30
0,1,40,264,288,2,0,1,0,1,3,1,0,6,1,3000,Radio or TV or Hifi,Lease,German,Others,Car,Cheque card,0,30
3,5,52,264,288,2,0,1,2400,0,1,1,1,4,1,1800,Radio or TV or Hifi,Lease,Turkish,Others,Car,no credit cards,0,30
1,3,53,264,288,2,2,1,2500,0,3,1,0,7,1,2000,Furniture or Carpet,Lease,Yugoslav,Others,Car,no credit cards,0,30
0,2,63,264,288,1,2,1,1900,0,1,1,1,7,1,700,Dept. Store or Mail,Lease,Yugoslav,Others,Car,no credit cards,0,30
1,3,47,288,288,2,0,0,3300,0,3,1,0,0,0,1500,Dept. Store or Mail,Lease,German,Others,Car,no credit cards,0,30
1,3,47,288,288,2,0,0,0,1,1,1,2,0,0,500,Dept. Store or Mail,Lease,German,Civil Service,Car,Cheque card,0,30
0,2,45,312,288,1,0,0,0,1,1,1,1,0,0,1400,Furniture or Carpet,Lease,German,Others,Without Vehicle,Cheque card,0,30
0,2,52,312,288,2,2,1,2500,0,3,1,0,6,1,1800,Radio or TV or Hifi,Lease,German,Others,Car,no credit cards,0,30
1,3,39,999,288,2,1,1,3200,1,1,1,2,3,1,1600,Dept. Store or Mail,,German,Civil Service,Car,Cheque card,0,30
0,1,39,999,288,2,2,1,2300,0,1,1,1,4,1,1600,Dept. Store or Mail,,German,State or Steel Ind,Car,no credit cards,0,30
0,2,54,999,288,1,0,0,1500,0,1,1,1,0,0,4000,Furniture or Carpet,Lease,German,Others,Without Vehicle,no credit cards,0,30
2,4,43,3,240,2,0,1,3500,0,1,1,2,3,1,3000,Radio or TV or Hifi,Lease,German,Others,Car,no credit cards,0,30
0,2,54,6,240,2,0,0,3300,0,3,1,0,5,1,600,Furniture or Carpet,Lease,Turkish,Others,Without Vehicle,no credit cards,0,30
2,4,36,18,240,2,2,0,5000,1,1,1,1,7,1,1000,Radio or TV or Hifi,,German,Others,Car,Cheque card,0,30
2,4,45,21,240,2,0,0,0,1,1,1,1,5,1,2500,Radio or TV or Hifi,Lease,German,Civil Service,Car,Cheque card,0,30
2,4,37,30,240,2,0,1,0,0,3,1,0,8,1,4000,Furniture or Carpet,Lease,German,Others,Car,Mastercard/Euroc,0,30
1,3,50,30,240,1,2,0,2800,0,1,1,2,0,0,800,Dept. Store or Mail,Lease,German,Others,Car,no credit cards,0,30
0,1,40,48,240,2,0,0,0,1,1,1,1,0,0,1700,Dept. Store or Mail,Lease,German,Others,Car,Cheque card,0,30
2,4,40,48,240,2,0,0,5000,0,1,1,0,4,1,5000,Radio or TV or Hifi,Owner,German,Others,Car,no credit cards,0,30
1,3,35,54,240,2,0,0,3500,0,3,1,0,7,1,3000,Furniture or Carpet,Owner,German,Others,Car,no credit cards,0,30
4,6,47,54,240,2,2,1,3300,0,1,1,1,5,1,500,Radio or TV or Hifi,Lease,Others,Food or Building,Car,no credit cards,0,30
0,2,51,72,240,2,0,0,0,1,1,1,1,3,1,2000,Radio or TV or Hifi,,German,Others,Car,Cheque card,0,30
2,4,36,84,240,2,0,1,3100,0,3,1,0,3,1,1200,Radio or TV or Hifi,,German,Civil Service,Car,no credit cards,0,30
0,2,42,84,240,2,2,1,4000,0,1,1,2,4,1,1500,Radio or TV or Hifi,Lease,German,Others,Car,no credit cards,0,30
1,3,43,96,240,2,0,0,3500,0,3,1,0,4,1,6000,Cars,Owner,German,Others,Car,no credit cards,0,30
3,5,46,96,240,2,2,0,2000,0,1,1,2,4,1,0,,Lease,Others,Food or Building,Car,no credit cards,0,30
2,3,37,108,240,2,2,0,2500,0,1,1,2,4,1,1400,Radio or TV or Hifi,,German,Chemical Industr,Car,no credit cards,0,30
0,1,40,120,240,2,2,1,2500,1,3,1,0,3,1,1500,Radio or TV or Hifi,,German,Others,Car,Cheque card,0,30
2,4,41,120,240,2,0,0,0,0,3,1,0,0,0,1500,Furniture or Carpet,Lease,German,Others,Car,Mastercard/Euroc,0,30
1,3,37,144,240,2,0,0,0,1,1,1,1,0,0,700,Furniture or Carpet,Lease,German,Others,Car,Cheque card,0,30
2,4,48,144,240,2,2,1,3100,0,1,1,1,5,1,500,Radio or TV or Hifi,Lease,Turkish,Others,Car,no credit cards,0,30
0,2,55,144,240,2,0,0,0,1,3,1,0,6,1,3000,Radio or TV or Hifi,Lease,German,Pensioner,Car,Cheque card,0,30
1,3,45,168,240,2,2,1,3000,0,1,1,1,5,1,1200,Radio or TV or Hifi,Lease,Turkish,Others,Car,no credit cards,0,30
0,2,50,168,240,2,0,1,3200,0,1,1,4,4,1,5000,Furniture or Carpet,Lease,German,Chemical Industr,Car,no credit cards,0,30
0,1,44,192,240,2,2,1,2700,0,1,1,0,4,1,2000,Furniture or Carpet,Lease,German,Others,Without Vehicle,no credit cards,0,30
3,5,45,192,240,2,0,1,3000,0,1,1,1,3,1,1200,Dept. Store or Mail,,German,Others,Car,no credit cards,0,30
2,4,46,192,240,2,2,1,5000,0,1,1,1,6,1,1400,Radio or TV or Hifi,Lease,Yugoslav,Others,Car,no credit cards,0,30
1,3,52,192,240,1,2,0,3000,0,1,1,3,0,0,4000,Dept. Store or Mail,Owner,German,Others,Car,no credit cards,0,30
2,4,35,216,240,2,0,0,0,1,3,1,0,7,1,1900,Radio or TV or Hifi,Lease,German,Others,Car,Cheque card,0,30
2,4,38,216,240,2,0,1,5000,0,1,1,2,4,1,3000,Radio or TV or Hifi,,German,Chemical Industr,Car,no credit cards,0,30
0,2,47,216,240,2,2,0,0,1,1,1,1,4,1,1300,Radio or TV or Hifi,Lease,German,Others,Car,Cheque card,0,30
0,2,46,240,240,2,0,0,0,1,1,1,1,0,0,1400,Cars,Lease,German,Food or Building,Car,Cheque card,0,30
0,2,49,240,240,2,2,1,3500,0,1,1,4,4,1,1200,Radio or TV or Hifi,Lease,German,Others,Without Vehicle,no credit cards,0,30
1,3,51,240,240,2,0,0,2500,0,3,1,0,4,1,1500,Radio or TV or Hifi,,Turkish,Pensioner,Without Vehicle,no credit cards,0,30
2,4,39,264,240,2,0,0,0,1,3,1,0,0,0,4000,Radio or TV or Hifi,Lease,German,Others,Car,Cheque card,0,30
2,4,41,999,240,2,0,0,3400,0,1,1,1,3,1,4000,Dept. Store or Mail,Owner,German,Others,Car,no credit cards,0,30
1,3,42,999,240,2,0,0,3300,0,1,1,1,2,1,100000,Cars,Owner,German,Others,Car,no credit cards,0,30
2,4,33,9,216,2,0,1,5000,0,1,1,1,5,1,500,Radio or TV or Hifi,Lease,German,Others,Car,no credit cards,0,30
2,4,35,9,216,2,0,1,0,1,3,1,0,0,0,1500,Radio or TV or Hifi,Lease,German,Civil Service,Car,Cheque card,0,30
2,3,33,18,216,1,0,1,2900,0,1,1,3,6,1,1500,Furniture or Carpet,Lease,German,Food or Building,Car,no credit cards,0,30
1,3,41,18,216,2,0,1,2200,0,1,1,1,2,1,10000,Cars,Owner,German,Others,Car and Motor bi,no credit cards,0,30
2,3,36,21,216,2,0,1,0,1,3,1,0,0,0,600,Radio or TV or Hifi,Lease,German,Civil Service,Car,Cheque card,0,30
2,4,36,21,216,1,0,0,0,1,1,1,1,0,0,800,Dept. Store or Mail,Lease,German,Civil Service,Car,Cheque card,0,30
3,5,45,36,216,2,2,0,10000,0,3,1,0,5,1,2500,Radio or TV or Hifi,Owner,German,Others,Car,no credit cards,0,30
1,3,33,42,216,2,0,0,2800,0,1,1,1,4,1,1100,Dept. Store or Mail,,German,Others,Car,no credit cards,0,30
1,2,38,48,216,1,0,0,0,1,1,1,2,0,0,1000,Furniture or Carpet,Lease,German,Others,Car,Cheque card,0,30
2,4,34,60,216,2,2,1,2700,0,3,1,0,4,1,1000,Radio or TV or Hifi,Lease,German,Others,Car,no credit cards,0,30
2,4,63,60,216,2,0,1,3000,1,1,1,9,2,1,20000,Furniture or Carpet,Lease,German,Civil Service,Car,Cheque card,0,30
2,4,32,66,216,1,2,0,0,1,1,1,2,0,0,1400,Radio or TV or Hifi,Lease,German,Others,Car,Cheque card,0,30
1,3,37,96,216,2,0,1,4000,0,1,1,1,4,1,900,Dept. Store or Mail,,German,Food or Building,Car,no credit cards,0,30
2,4,33,108,216,2,0,0,3500,0,1,1,2,2,1,800,Leisure,Lease,German,Others,Car,no credit cards,0,30
1,3,33,120,216,2,2,1,3300,0,1,1,1,4,1,500,Furniture or Carpet,Lease,Turkish,Others,Without Vehicle,no credit cards,0,30
1,3,33,144,216,2,2,1,0,1,1,1,2,0,0,2500,Furniture or Carpet,Lease,German,Others,Car,Cheque card,0,30
5,7,38,144,216,2,2,1,3500,0,1,1,1,4,1,1800,Radio or TV or Hifi,,Turkish,Food or Building,Car,no credit cards,0,30
0,2,43,144,216,2,2,1,3200,0,3,1,0,4,1,7000,Furniture or Carpet,Lease,Turkish,Others,Car,no credit cards,0,30
0,1,55,144,216,2,0,1,1700,1,1,1,1,3,1,2500,Furniture or Carpet,,German,Pensioner,Car,Cheque card,0,30
2,4,34,168,216,2,2,1,2100,0,1,1,2,0,0,7000,Furniture or Carpet,Lease,German,Others,Car,no credit cards,0,30
3,5,37,168,216,2,0,0,2600,0,3,1,0,8,1,1500,Radio or TV or Hifi,,Italian,Others,Car,no credit cards,0,30
0,1,47,168,216,1,0,0,0,1,1,1,1,0,0,700,Furniture or Carpet,Lease,German,Others,Without Vehicle,Cheque card,0,30
1,3,58,168,216,2,2,0,4000,0,3,1,0,3,1,4000,Radio or TV or Hifi,Lease,Turkish,Others,Without Vehicle,no credit cards,0,30
2,4,39,216,216,2,0,0,2700,0,3,1,0,5,1,800,Radio or TV or Hifi,Owner,German,Civil Service,Car,no credit cards,0,30
2,4,43,216,216,2,0,0,3000,0,1,1,1,4,1,1300,Radio or TV or Hifi,Lease,German,Others,Car,no credit cards,0,30
0,2,50,216,216,2,0,0,0,1,3,1,0,0,0,1000,Radio or TV or Hifi,Lease,German,Civil Service,Car,Cheque card,0,30
1,3,55,216,216,2,0,1,3500,0,3,1,0,5,1,700,Radio or TV or Hifi,Lease,Turkish,Others,Car,no credit cards,0,30
3,5,45,240,216,2,2,1,4000,0,3,1,0,2,1,900,Radio or TV or Hifi,Lease,Turkish,Others,Car,no credit cards,0,30
0,2,54,240,216,2,0,1,3500,0,1,1,1,6,1,6000,Radio or TV or Hifi,Owner,German,Others,Car,no credit cards,0,30
1,3,41,312,216,2,2,1,3400,0,1,1,3,7,1,2500,Dept. Store or Mail,Lease,Turkish,Others,Car,no credit cards,0,30
0,2,59,999,216,2,2,1,2200,0,1,1,2,7,1,1300,Dept. Store or Mail,Lease,Italian,Others,Car,no credit cards,0,30
1,3,31,3,192,1,0,1,0,1,1,1,1,0,0,1500,Radio or TV or Hifi,Lease,German,Civil Service,Car,Cheque card,0,30
0,1,31,3,192,2,0,1,2400,0,3,1,0,3,1,1200,Dept. Store or Mail,,German,Civil Service,Car,no credit cards,0,30
0,2,66,3,192,1,0,0,1900,0,1,1,1,0,0,1200,Radio or TV or Hifi,Lease,German,Pensioner,Without Vehicle,no credit cards,0,30
0,1,30,6,192,2,0,0,0,1,1,1,2,3,1,2500,Furniture or Carpet,Lease,German,Others,Car,Cheque card,0,30
0,1,47,6,192,1,2,1,2300,0,1,1,1,4,1,600,Dept. Store or Mail,,German,Food or Building,Without Vehicle,no credit cards,0,30
