CHILDREN,PERS_H,AGE,TMADD,TMJOB1,TEL,NMBLOAN,FINLOAN,INCOME,EC_CARD,BUREAU,LOCATION,LOANS,REGN,DIV,CASH,PRODUCT,RESID,NAT,PROF,CAR,CARDS
0,1,21,9,9,2,0,0,1800,0,3,1,0,0,0,800,"Radio, TV, Hifi",Lease,East Germany,Others,Car,no credit cards
2,4,32,30,54,2,0,0,1000,0,1,1,1,0,0,1300,"Radio, TV, Hifi",Lease,East Germany,Others,Car,no credit cards
0,1,21,264,24,1,0,0,1800,0,3,1,0,0,0,5000,"Radio, TV, Hifi",Lease,East Germany,Others,Car,no credit cards
0,1,23,12,84,1,0,0,1500,0,3,1,0,0,0,500,"Dept. Store,Mail",Lease,East Germany,"Food,Building,Ca",Without Vehicle,no credit cards
0,2,23,3,18,1,0,0,0,1,3,1,0,0,0,2500,"Furniture,Carpet",Lease,East Germany,Others,Car,Cheque card
0,2,35,84,144,1,0,0,1500,0,1,1,4,0,0,4000,"Furniture,Carpet",Owner,East Germany,Others,Car,no credit cards
0,1,23,12,24,1,0,0,2200,0,1,1,3,0,0,4000,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
0,1,28,66,144,1,0,0,1500,0,2,1,3,0,0,1200,"Radio, TV, Hifi",Lease,East Germany,Others,Without Vehicle,no credit cards
2,4,41,144,30,1,2,0,2500,0,1,1,3,3,1,10000,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
0,1,19,3,18,1,0,0,0,1,3,1,0,0,0,1000,"Radio, TV, Hifi",Lease,East Germany,Others,Car,Cheque card
2,4,30,108,60,2,0,1,2400,0,1,1,2,0,0,500,Cars,Lease,East Germany,"Civil Service, M",Car,no credit cards
0,2,27,30,84,1,0,0,2000,0,3,1,0,0,0,2500,Leisure,Lease,East Germany,"Civil Service, M",Without Vehicle,no credit cards
2,3,28,21,6,1,0,0,1700,0,1,1,1,0,0,1300,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
0,1,22,264,15,1,0,0,1500,0,3,1,0,0,0,5000,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
0,1,26,18,144,2,0,1,2400,0,1,1,2,2,1,1000,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,no credit cards
1,2,22,9,84,1,0,0,2000,0,3,1,0,0,0,1800,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,no credit cards
0,2,57,288,60,2,0,1,1900,0,1,1,1,0,0,1100,"Furniture,Carpet",Lease,East Germany,Pensioner,Car,no credit cards
0,1,26,9,24,1,2,1,0,1,3,1,0,2,1,1400,"Furniture,Carpet",Lease,East Germany,Others,Car,Cheque card
2,4,38,216,36,2,0,0,2000,0,1,1,2,0,0,5000,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
0,1,37,96,48,2,0,0,2100,0,1,1,0,9,1,6000,Cars,Owner,East Germany,Others,Car,no credit cards
0,1,23,24,33,1,0,0,0,1,1,1,1,0,0,1000,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,Cheque card
2,4,30,18,18,2,0,0,2000,0,1,1,3,3,1,1100,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
1,3,37,48,6,1,0,0,1600,0,3,1,0,0,0,1400,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,no credit cards
2,4,48,264,15,2,0,1,1900,0,1,1,1,0,0,3000,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
1,3,44,96,96,2,0,1,2500,0,1,1,3,0,0,900,"Radio, TV, Hifi",,East Germany,"Civil Service, M",Car,no credit cards
1,3,59,168,36,1,0,0,1700,0,3,0,0,3,1,5000,"Furniture,Carpet",Owner,East Germany,Pensioner,Car,no credit cards
1,2,23,9,9,1,2,0,0,1,1,1,1,0,0,900,"Dept. Store,Mail",Lease,East Germany,Others,Car,Cheque card
0,1,26,15,9,1,0,0,2400,0,1,1,2,0,0,2500,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
0,1,28,3,15,1,0,0,1800,0,3,1,0,0,0,2000,"Radio, TV, Hifi",,East Germany,"Food,Building,Ca",Without Vehicle,no credit cards
2,4,33,36,168,2,0,0,0,1,3,1,0,2,1,500,"Dept. Store,Mail",Lease,East Germany,Others,Car,Cheque card
2,3,34,192,54,1,0,0,2300,0,1,1,0,2,1,1400,"Radio, TV, Hifi",,East Germany,Others,Without Vehicle,no credit cards
0,1,28,9,18,2,0,0,0,1,3,1,0,0,0,600,"Furniture,Carpet",Lease,East Germany,Others,Car,Cheque card
0,1,43,54,66,2,0,0,0,1,3,1,0,0,0,1200,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,Cheque card
0,2,23,3,48,1,0,0,1800,0,3,1,0,0,0,1600,"Dept. Store,Mail",Lease,East Germany,Others,Car,no credit cards
0,1,22,144,27,2,0,0,1800,0,1,1,1,0,0,4000,"Radio, TV, Hifi",Lease,East Germany,Others,Car,no credit cards
0,1,23,9,3,1,0,0,1800,1,3,1,0,0,0,1400,"Radio, TV, Hifi",,East Germany,Others,Car,Cheque card
0,1,29,360,9,2,0,0,2000,0,2,1,1,0,0,2500,"Radio, TV, Hifi",Lease,East Germany,Others,Without Vehicle,no credit cards
0,1,33,15,9,1,0,0,0,1,3,1,0,0,0,1200,"Radio, TV, Hifi",Lease,East Germany,Others,Without Vehicle,Cheque card
1,3,35,999,66,2,2,1,2400,0,1,1,2,0,0,1200,"Radio, TV, Hifi",Lease,East Germany,Others,Car,no credit cards
1,2,26,0,18,1,0,0,1000,0,3,1,0,0,0,1100,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,no credit cards
0,2,69,144,108,2,2,1,1500,0,1,1,1,0,0,1400,"Furniture,Carpet",Lease,East Germany,Pensioner,Car,no credit cards
1,2,27,30,27,2,0,0,2300,0,1,1,1,0,0,500,"Dept. Store,Mail",Lease,East Germany,Others,Without Vehicle,no credit cards
1,2,26,3,21,1,0,0,2300,0,1,1,1,0,0,2500,"Radio, TV, Hifi",Lease,East Germany,Chemical Industr,Car,no credit cards
2,4,43,42,42,2,0,0,1000,0,3,1,0,0,0,1200,Cars,Owner,East Germany,Others,Car,no credit cards
2,4,36,18,18,2,2,1,2600,0,1,1,2,0,0,1700,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
0,1,21,12,9,1,0,0,2000,0,1,1,1,0,0,1400,"Dept. Store,Mail",Lease,East Germany,Others,Car,no credit cards
0,1,28,3,24,1,0,0,2600,0,1,1,2,0,0,4000,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
0,2,43,12,288,2,0,1,2200,0,2,1,1,0,0,1600,"Dept. Store,Mail",Lease,East Germany,Others,Car,no credit cards
2,4,36,999,144,2,0,0,4000,0,1,1,10,0,0,15000,"Furniture,Carpet",Owner,East Germany,"Civil Service, M",Car,no credit cards
1,2,30,30,18,1,0,0,0,1,1,1,2,0,0,1000,"Dept. Store,Mail",Lease,East Germany,Others,Car,Cheque card
1,2,24,15,21,1,0,0,0,1,3,1,0,0,0,900,"Radio, TV, Hifi",Lease,East Germany,Others,Without Vehicle,Cheque card
0,1,25,216,3,1,0,0,1500,0,3,1,0,0,0,700,Cars,Lease,East Germany,Others,Car,no credit cards
0,1,20,30,3,2,0,0,1600,0,1,1,1,0,0,3000,"Radio, TV, Hifi",Lease,East Germany,Others,Without Vehicle,no credit cards
0,1,23,18,27,0,0,0,1700,0,3,1,0,0,0,8000,Cars,Lease,East Germany,Others,Car,no credit cards
2,3,29,18,24,2,0,0,0,1,1,1,1,0,0,1200,"Furniture,Carpet",Lease,East Germany,Others,Car,Cheque card
2,3,39,168,39,2,2,1,1800,0,1,1,1,0,0,5000,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
1,2,25,15,42,1,0,1,0,1,1,1,3,0,0,1300,"Furniture,Carpet",Lease,East Germany,Others,Car,Cheque card
2,3,30,144,21,1,0,0,0,0,3,1,0,0,0,1000,"Radio, TV, Hifi",Lease,East Germany,Others,Without Vehicle,Mastercard/Euroc
1,2,48,6,15,1,0,0,0,1,1,1,1,0,0,2000,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,Cheque card
0,2,66,54,12,2,0,0,1000,0,2,1,1,3,1,700,"Dept. Store,Mail",Owner,East Germany,Pensioner,Without Vehicle,no credit cards
1,3,41,120,60,1,0,1,2000,0,1,1,1,0,0,1200,"Radio, TV, Hifi",,East Germany,Others,Car,no credit cards
5,7,52,96,30,2,0,0,2400,0,1,1,1,2,1,1100,"Furniture,Carpet",Owner,East Germany,"Civil Service, M",Car,no credit cards
0,1,21,240,48,1,0,0,1000,0,1,1,0,0,0,2000,Cars,Lease,East Germany,Others,Car,no credit cards
0,1,21,3,15,1,0,0,0,1,3,1,0,0,0,1400,Cars,Lease,East Germany,"Food,Building,Ca",Car,Cheque card
1,3,56,999,48,2,0,0,0,0,1,1,2,0,0,1400,"Radio, TV, Hifi",Lease,East Germany,Others,Car,Mastercard/Euroc
0,2,39,120,36,2,1,0,0,1,2,1,2,3,1,1000,"Radio, TV, Hifi",Lease,East Germany,Others,Car,Cheque card
1,3,33,36,24,1,1,0,2500,0,1,1,3,0,0,900,"Radio, TV, Hifi",,East Germany,Others,Car,no credit cards
3,5,28,18,144,1,1,1,0,1,2,1,0,2,1,900,"Radio, TV, Hifi",,East Germany,"Civil Service, M",Car,Cheque card
0,1,25,12,12,1,0,0,0,1,1,1,2,0,0,500,"Furniture,Carpet",Lease,East Germany,Others,Car,Cheque card
0,1,33,84,72,2,2,1,2200,0,1,1,1,0,0,4000,"Radio, TV, Hifi",Lease,East Germany,"Civil Service, M",Car,no credit cards
1,3,34,72,0,2,0,0,0,1,3,1,0,0,0,700,"Furniture,Carpet",Lease,East Germany,"Food,Building,Ca",Without Vehicle,Cheque card
1,2,29,60,72,1,0,1,2200,0,1,1,1,0,0,1300,"Furniture,Carpet",Lease,East Germany,"Food,Building,Ca",Car,no credit cards
0,2,37,108,9,2,0,1,2000,0,1,1,1,0,0,5000,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
0,1,27,21,21,1,2,1,0,0,1,1,1,0,0,2500,"Furniture,Carpet",Lease,East Germany,Others,Car,Mastercard/Euroc
0,1,49,66,15,2,0,0,0,1,1,1,1,0,0,800,"Dept. Store,Mail",Lease,East Germany,Others,Without Vehicle,Cheque card
0,2,66,72,108,1,0,0,1500,0,1,1,1,0,0,1000,Leisure,Lease,East Germany,Pensioner,Without Vehicle,no credit cards
1,3,41,108,96,2,0,0,2500,1,1,1,2,0,0,2000,"Dept. Store,Mail",Lease,East Germany,Others,Car,Cheque card
1,2,27,0,18,1,0,0,1500,0,3,1,0,0,0,900,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,no credit cards
0,1,21,264,12,2,0,0,1500,0,3,1,0,0,0,1200,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,no credit cards
0,1,30,3,21,2,2,1,1600,1,1,1,1,8,1,1900,"Furniture,Carpet",,East Germany,"Food,Building,Ca",Car,Cheque card
0,2,22,12,21,2,0,0,0,1,1,1,1,0,0,3000,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,Cheque card
2,4,37,42,54,1,2,1,2500,1,1,1,1,2,1,4000,"Radio, TV, Hifi",Lease,East Germany,Others,Car,Cheque card
1,2,29,9,144,1,0,0,0,1,1,1,0,0,0,3000,"Furniture,Carpet",Lease,East Germany,Others,Car,Cheque card
0,1,21,9,33,1,0,0,0,1,3,1,0,0,0,1400,"Dept. Store,Mail",Lease,East Germany,Others,Car,Cheque card
1,2,44,288,96,1,0,0,1900,0,3,1,0,0,0,4000,Leisure,Owner,East Germany,Self-employed pe,Car,no credit cards
1,3,42,120,33,1,0,1,2000,0,3,1,0,0,0,9000,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
1,3,34,9,21,1,0,1,0,1,3,1,0,0,0,2000,"Dept. Store,Mail",Lease,East Germany,Others,Car,Cheque card
2,4,42,15,120,2,0,0,0,1,1,1,1,0,0,4000,"Radio, TV, Hifi",Lease,East Germany,Others,Car,Cheque card
2,4,34,120,120,2,2,1,2800,0,1,1,1,0,0,1500,"Furniture,Carpet",Lease,East Germany,"Civil Service, M",Car,no credit cards
0,2,22,12,54,2,0,0,1500,0,1,1,1,0,0,5000,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,no credit cards
0,1,21,12,12,1,0,0,0,1,1,1,1,0,0,2500,"Radio, TV, Hifi",Lease,East Germany,"Food,Building,Ca",Without Vehicle,Cheque card
4,5,35,48,72,2,0,0,3100,1,1,1,2,0,0,6000,"Furniture,Carpet",Lease,East Germany,Others,Car,Cheque card
0,1,27,72,18,1,0,0,1500,0,2,1,0,0,0,600,"Dept. Store,Mail",Lease,East Germany,Pensioner,Car,no credit cards
0,2,42,21,60,1,0,1,1700,0,1,1,1,0,0,1400,"Radio, TV, Hifi",Lease,East Germany,Others,Car,no credit cards
1,2,24,18,66,2,0,0,1700,0,1,1,2,0,0,1600,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
0,1,21,264,6,1,0,0,1500,0,1,1,2,0,0,1900,"Furniture,Carpet",Owner,East Germany,Others,Car,no credit cards
1,3,30,48,6,2,1,0,0,1,1,1,2,0,0,1000,"Radio, TV, Hifi",Lease,East Germany,Others,Car,Cheque card
0,1,23,30,12,1,0,0,1500,0,1,1,0,0,0,1200,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,no credit cards
1,3,23,9,3,2,0,0,0,1,3,1,0,2,1,1000,"Furniture,Carpet",Lease,East Germany,Others,Car,Cheque card
1,2,52,15,168,1,2,0,2800,1,1,1,1,0,0,7000,"Furniture,Carpet",Lease,East Germany,"State,Steel Ind,",Car,Cheque card
0,1,48,168,9,2,0,0,0,1,1,1,1,0,0,600,"Dept. Store,Mail",Lease,East Germany,Others,Without Vehicle,Cheque card
1,2,39,18,168,2,2,1,0,0,1,1,0,0,0,500,"Dept. Store,Mail",Lease,East Germany,Others,Car,Mastercard/Euroc
0,1,68,999,108,2,0,0,1000,0,3,1,0,3,1,1100,"Dept. Store,Mail",Lease,East Germany,Pensioner,Without Vehicle,no credit cards
0,1,20,15,6,1,0,0,1600,0,3,1,0,0,0,1400,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
2,4,42,168,39,1,0,0,2100,0,3,1,0,0,0,15000,"Furniture,Carpet",Owner,East Germany,Self-employed pe,Car,no credit cards
0,1,27,96,27,2,0,0,3300,0,1,1,1,0,0,1300,"Radio, TV, Hifi",Lease,East Germany,Others,Car,no credit cards
0,2,57,192,24,1,0,0,1500,0,2,1,1,0,0,5000,"Furniture,Carpet",Lease,East Germany,Pensioner,Without Vehicle,no credit cards
0,1,26,30,9,1,0,0,1500,0,3,1,0,0,0,1800,"Radio, TV, Hifi",Lease,East Germany,Others,Without Vehicle,no credit cards
1,2,28,30,12,1,0,0,0,1,1,1,1,0,0,600,"Radio, TV, Hifi",Lease,East Germany,Others,Without Vehicle,Cheque card
0,1,54,312,84,1,0,0,2000,0,2,1,0,0,0,1400,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
0,1,58,48,21,1,0,0,0,1,2,1,1,0,0,1400,Cars,Lease,East Germany,Others,Without Vehicle,Cheque card
2,3,46,108,15,1,0,1,2000,1,1,1,2,0,0,600,"Dept. Store,Mail",,East Germany,Others,Car,Cheque card
0,2,72,240,144,2,0,1,1600,1,3,1,0,0,0,1200,"Dept. Store,Mail",,East Germany,Pensioner,Car,Cheque card
1,3,29,12,15,1,0,1,1700,0,1,1,1,0,0,1000,"Dept. Store,Mail",Lease,East Germany,Others,Car,no credit cards
1,3,35,999,12,0,0,1,2200,0,1,1,4,3,1,100000,Cars,Lease,East Germany,Others,Car,no credit cards
3,5,32,96,192,2,0,0,1700,0,1,1,1,0,0,1700,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
2,4,37,84,6,1,1,1,1500,0,1,1,3,0,0,700,"Furniture,Carpet",Lease,East Germany,"Food,Building,Ca",Car,no credit cards
0,1,22,30,12,1,0,0,2000,0,1,1,1,0,0,1800,"Furniture,Carpet",Lease,East Germany,"Civil Service, M",Car,no credit cards
1,2,23,9,33,2,0,0,0,1,1,1,2,0,0,1900,"Furniture,Carpet",Lease,East Germany,Others,Car,Cheque card
1,2,37,120,12,1,0,0,1600,0,2,1,0,0,0,800,"Dept. Store,Mail",Lease,East Germany,"Food,Building,Ca",Without Vehicle,no credit cards
1,3,41,48,108,2,2,1,1500,0,1,1,2,0,0,15000,"Furniture,Carpet",Lease,East Germany,Pensioner,Car,no credit cards
0,2,20,12,9,1,0,0,2400,0,3,1,0,0,0,3000,"Radio, TV, Hifi",Lease,East Germany,Others,Without Vehicle,no credit cards
0,2,44,264,288,1,0,1,2000,0,1,1,1,3,1,8000,Cars,Lease,East Germany,Others,Car,no credit cards
0,2,55,192,999,1,0,0,2100,0,1,1,2,0,0,7000,"Furniture,Carpet",Owner,East Germany,Others,Car,no credit cards
2,4,26,84,18,1,1,1,1800,0,3,1,0,0,0,1000,"Dept. Store,Mail",Lease,East Germany,Others,Car,no credit cards
0,1,47,288,3,2,0,0,0,1,3,1,0,0,0,900,"Dept. Store,Mail",Lease,East Germany,Others,Without Vehicle,Cheque card
0,1,21,144,18,2,0,0,1500,0,3,1,0,0,0,1000,Cars,Lease,East Germany,Others,Car,no credit cards
0,1,21,9,6,1,0,0,1500,0,1,1,1,0,0,1700,Cars,Lease,East Germany,Others,Car,no credit cards
0,2,64,240,42,2,0,0,1500,0,1,1,1,0,0,1400,"Furniture,Carpet",Lease,East Germany,Pensioner,Car,no credit cards
1,2,21,15,21,2,0,0,0,1,1,1,1,0,0,900,"Dept. Store,Mail",Lease,East Germany,Others,Car,Cheque card
1,2,25,144,36,1,0,0,1500,0,3,1,0,0,0,500,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,no credit cards
1,3,41,999,288,1,0,0,1600,0,1,1,2,0,0,4000,"Furniture,Carpet",Owner,East Germany,Others,Without Vehicle,no credit cards
1,3,26,312,30,1,0,1,1900,0,1,1,3,0,0,800,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
0,1,24,9,108,1,0,0,1700,0,2,1,0,0,0,1500,"Dept. Store,Mail",Lease,East Germany,Others,Without Vehicle,no credit cards
0,1,21,48,6,2,0,0,0,1,3,1,0,0,0,2500,"Radio, TV, Hifi",Lease,East Germany,Others,Car,Cheque card
0,1,40,999,30,2,2,1,2700,0,1,1,2,0,0,100000,Cars,Owner,East Germany,"Food,Building,Ca",Car,no credit cards
3,5,34,24,84,2,0,0,2500,0,2,1,2,0,0,2500,"Radio, TV, Hifi",Lease,East Germany,"Civil Service, M",Car,no credit cards
0,1,22,30,66,1,0,0,1500,0,3,1,0,0,0,1200,"Radio, TV, Hifi",Lease,East Germany,Others,Without Vehicle,Mastercard/Euroc
0,1,23,24,48,2,0,1,1800,0,1,1,1,0,0,9000,"Furniture,Carpet",Lease,East Germany,"Civil Service, M",Car,no credit cards
2,4,31,108,9,1,0,0,2200,0,3,1,0,0,0,2500,"Furniture,Carpet",Owner,East Germany,"Food,Building,Ca",Car,no credit cards
0,2,30,3,3,1,0,0,1000,0,3,1,0,0,0,1000,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
0,2,22,36,12,2,0,0,0,1,3,1,0,0,0,1000,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,Cheque card
1,3,28,24,9,2,0,0,0,1,1,1,2,0,0,1400,"Furniture,Carpet",Lease,East Germany,"Food,Building,Ca",Car,Cheque card
0,1,28,6,15,1,0,0,0,1,1,1,1,0,0,1100,"Radio, TV, Hifi",Lease,East Germany,Others,Car,Cheque card
2,3,38,15,84,1,0,1,0,1,3,1,0,0,0,1000,"Furniture,Carpet",Lease,East Germany,Others,Car,Cheque card
2,4,37,84,33,1,0,1,0,1,1,1,1,0,0,2500,Leisure,Lease,East Germany,Others,Car,Cheque card
0,1,22,6,66,1,2,0,0,1,3,1,0,0,0,600,"Radio, TV, Hifi",Lease,East Germany,Others,Car,Cheque card
1,3,44,18,21,2,0,0,1500,0,1,1,3,0,0,600,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,no credit cards
2,4,37,84,15,1,1,1,2000,0,1,1,1,0,0,1700,"Furniture,Carpet",Lease,East Germany,"Food,Building,Ca",Car,no credit cards
2,4,31,60,168,2,2,0,0,1,1,1,4,0,0,1900,"Furniture,Carpet",Lease,East Germany,"Civil Service, M",Car,Cheque card
2,4,36,54,54,2,0,0,3300,0,3,1,0,9,1,5000,,Lease,German,Others,Car,no credit cards
0,2,45,999,999,1,0,0,1600,0,1,1,1,0,0,5000,"Furniture,Carpet",Owner,East Germany,Others,Car,no credit cards
0,1,71,168,54,2,2,0,1600,0,2,1,2,0,0,2500,"Radio, TV, Hifi",Lease,East Germany,Pensioner,Car,no credit cards
2,4,29,168,9,1,0,0,2100,0,2,1,1,0,0,1000,"Dept. Store,Mail",Lease,East Germany,Others,Car,no credit cards
2,4,24,36,48,2,0,0,2600,0,1,1,2,0,0,1500,"Dept. Store,Mail",Lease,East Germany,"Civil Service, M",Car,no credit cards
0,2,53,120,15,1,0,0,1500,0,1,1,1,0,0,500,"Dept. Store,Mail",,East Germany,Pensioner,Without Vehicle,no credit cards
1,3,30,30,12,1,0,0,1900,0,1,1,2,0,0,3000,Cars,Lease,East Germany,"Food,Building,Ca",Car,no credit cards
3,4,34,999,12,1,0,0,2900,0,3,1,0,0,0,3000,"Furniture,Carpet",Lease,East Germany,"Food,Building,Ca",Car,no credit cards
2,4,34,60,42,2,0,0,0,1,1,1,1,0,0,600,"Dept. Store,Mail",Lease,East Germany,Others,Car,Cheque card
0,1,21,264,60,1,0,0,1500,0,3,1,0,0,0,2500,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
1,3,26,15,27,2,0,0,2000,0,3,1,0,0,0,5000,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
0,1,19,240,18,1,0,0,1000,0,3,1,0,0,0,500,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,no credit cards
0,2,59,999,42,2,0,0,1000,0,3,1,0,0,0,7000,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,no credit cards
0,2,50,336,33,2,0,0,1500,0,3,1,0,0,0,1300,"Dept. Store,Mail",Lease,East Germany,"Food,Building,Ca",Without Vehicle,no credit cards
0,1,25,3,21,1,2,0,0,1,3,1,0,0,0,900,Cars,Lease,East Germany,"Sea Vojage, Gast",Car,Cheque card
0,1,24,192,66,1,0,0,2300,0,2,1,3,0,0,2500,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,no credit cards
1,3,43,96,36,1,0,0,1800,0,2,1,1,0,0,600,"Radio, TV, Hifi",Lease,East Germany,Others,Without Vehicle,no credit cards
0,1,24,288,15,1,0,0,0,1,1,1,2,0,0,2500,"Furniture,Carpet",Lease,East Germany,Self-employed pe,Car,Cheque card
1,2,44,96,18,2,0,0,1900,0,1,1,1,0,0,6000,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
0,1,30,60,30,2,0,0,1800,0,1,1,1,0,0,4000,"Dept. Store,Mail",Lease,East Germany,Others,Car,no credit cards
0,1,21,54,39,2,0,0,1700,0,1,1,1,0,0,7000,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,no credit cards
0,2,41,96,12,2,0,0,2100,1,1,1,2,0,0,4000,"Radio, TV, Hifi",Lease,East Germany,"Civil Service, M",Car,Cheque card
1,3,35,42,42,2,0,0,2000,0,1,1,1,0,0,1100,"Dept. Store,Mail",Lease,East Germany,"Civil Service, M",Car,no credit cards
0,1,28,144,120,2,1,1,1700,0,2,1,0,0,0,4000,"Radio, TV, Hifi",Lease,East Germany,Pensioner,Without Vehicle,no credit cards
2,3,23,30,15,1,0,0,0,1,3,1,0,0,0,1000,"Dept. Store,Mail",Lease,East Germany,"Food,Building,Ca",Car,Cheque card
1,2,37,36,6,2,0,0,1500,0,1,1,1,0,0,1200,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
0,2,56,192,60,2,0,0,1800,0,1,1,2,0,0,800,"Radio, TV, Hifi",,East Germany,Pensioner,Car,no credit cards
1,2,29,21,21,2,0,1,0,1,3,1,0,0,0,3000,"Furniture,Carpet",Lease,East Germany,Others,Without Vehicle,Cheque card
0,1,23,21,9,2,0,0,2800,0,1,1,1,0,0,2500,"Radio, TV, Hifi",Owner,East Germany,Others,Without Vehicle,no credit cards
0,1,27,24,18,1,0,0,2700,0,3,1,0,0,0,2500,"Furniture,Carpet",Lease,East Germany,"Food,Building,Ca",Without Vehicle,no credit cards
0,1,31,54,45,2,0,0,0,0,3,1,0,0,0,600,"Dept. Store,Mail",Lease,East Germany,Others,Car,Mastercard/Euroc
0,1,21,264,36,1,0,0,1500,0,3,1,0,0,0,4000,"Radio, TV, Hifi",Lease,East Germany,Others,Car,no credit cards
0,1,18,216,9,2,0,0,1000,0,3,1,0,3,1,1800,"Radio, TV, Hifi",Lease,East Germany,Others,Without Vehicle,no credit cards
3,5,31,48,168,2,2,1,2900,0,1,1,2,0,0,5000,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
3,5,31,48,168,2,2,1,2900,0,1,1,2,0,0,5000,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
0,1,25,120,9,1,0,0,1700,0,1,1,1,0,0,3000,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
2,4,32,120,108,2,0,0,2800,1,1,1,1,0,0,1500,Leisure,Lease,East Germany,"Civil Service, M",Car,Cheque card
0,2,47,42,999,2,0,0,2000,0,3,1,0,0,0,5000,"Furniture,Carpet",Lease,East Germany,Others,Car,no credit cards
